"District","Room Bucket","Ad Count"
"Bienczyce","1","23"
"Bienczyce","2","113"
"Bienczyce","3","97"
"Bienczyce","4+","8"
"Bienczyce","Unknown","1"
"Biezanow--Prokocim","1","84"
"Biezanow--Prokocim","2","191"
"Biezanow--Prokocim","3","213"
"Biezanow--Prokocim","4+","90"
"Biezanow--Prokocim","Unknown","2"
"Bronowice","1","17"
"Bronowice","2","90"
"Bronowice","3","110"
"Bronowice","4+","77"
"Czyzyny","1","20"
"Czyzyny","2","153"
"Czyzyny","3","150"
"Czyzyny","4+","63"
"Czyzyny","Unknown","1"
"Debniki","1","74"
"Debniki","2","334"
"Debniki","3","328"
"Debniki","4+","170"
"Grzegorzki","1","102"
"Grzegorzki","2","258"
"Grzegorzki","3","136"
"Grzegorzki","4+","88"
"Grzegorzki","Unknown","2"
"Krowodrza","1","56"
"Krowodrza","2","210"
"Krowodrza","3","148"
"Krowodrza","4+","78"
"Krowodrza","Unknown","2"
"Lagiewniki--Borek-Falecki","1","20"
"Lagiewniki--Borek-Falecki","2","43"
"Lagiewniki--Borek-Falecki","3","37"
"Lagiewniki--Borek-Falecki","4+","15"
"Mistrzejowice","1","18"
"Mistrzejowice","2","178"
"Mistrzejowice","3","187"
"Mistrzejowice","4+","68"
"Nowa-Huta","1","53"
"Nowa-Huta","2","165"
"Nowa-Huta","3","125"
"Nowa-Huta","4+","31"
"Nowa-Huta","Unknown","1"
"Podgorze","1","134"
"Podgorze","2","577"
"Podgorze","3","597"
"Podgorze","4+","230"
"Podgorze","Unknown","5"
"Podgorze-Duchackie","1","39"
"Podgorze-Duchackie","2","166"
"Podgorze-Duchackie","3","224"
"Podgorze-Duchackie","4+","110"
"Podgorze-Duchackie","Unknown","3"
"Pradnik-Bialy","1","90"
"Pradnik-Bialy","2","604"
"Pradnik-Bialy","3","641"
"Pradnik-Bialy","4+","370"
"Pradnik-Bialy","Unknown","4"
"Pradnik-Czerwony","1","50"
"Pradnik-Czerwony","2","171"
"Pradnik-Czerwony","3","174"
"Pradnik-Czerwony","4+","61"
"Pradnik-Czerwony","Unknown","1"
"Stare-Miasto","1","188"
"Stare-Miasto","2","292"
"Stare-Miasto","3","174"
"Stare-Miasto","4+","159"
"Stare-Miasto","Unknown","2"
"Swoszowice","1","22"
"Swoszowice","2","55"
"Swoszowice","3","74"
"Swoszowice","4+","40"
"Wzgorza-Krzeslawickie","1","16"
"Wzgorza-Krzeslawickie","2","46"
"Wzgorza-Krzeslawickie","3","42"
"Wzgorza-Krzeslawickie","4+","12"
"Zwierzyniec","1","12"
"Zwierzyniec","2","58"
"Zwierzyniec","3","78"
"Zwierzyniec","4+","133"
"Zwierzyniec","Unknown","1"
